backend-provider  | INFO:     Started server process [1]
backend-provider  | INFO:     Waiting for application startup.
backend-provider  | INFO:     Application startup complete.
backend-provider  | INFO:     Uvicorn running on http://0.0.0.0:3001 (Press CTRL+C to quit)
backend-provider  | INFO:     127.0.0.1:60666 - "GET /docs HTTP/1.1" 200 OK
backend-provider  | INFO:     127.0.0.1:60672 - "GET /docs HTTP/1.1" 200 OK
backend-provider  | INFO:     127.0.0.1:60870 - "GET /docs HTTP/1.1" 200 OK
backend-provider  | INFO:     127.0.0.1:60884 - "GET /docs HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46748 - "POST /v1/notify?trace_id=c0893c6c-66bc-4105-ac15-c23f2d1833a8 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46750 - "POST /v1/notify?trace_id=688cf1ac-8104-41e3-a259-2423cce9fead HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46748 - "POST /v1/notify?trace_id=b067d44d-a061-4ed4-9f51-fac314abcdb2 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46754 - "POST /v1/notify?trace_id=dd0328db-48f8-49ac-8088-50ad237366ed HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46748 - "POST /v1/notify?trace_id=14f46e83-59a4-4b26-b029-b601c6def580 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46750 - "POST /v1/notify?trace_id=b38a9617-e7ff-406e-8d3b-80dd0030a7f5 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46750 - "POST /v1/notify?trace_id=586b9290-168b-4bed-b93b-bcab885cb619 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46748 - "POST /v1/notify?trace_id=0fe8666a-8da5-4fbe-89ec-72f9f6ce277e HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46754 - "POST /v1/notify?trace_id=bbe3478e-297f-4dd9-9078-39711f71db51 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46750 - "POST /v1/notify?trace_id=16f855a1-80a4-4ff1-b73a-afd68f6c3162 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46748 - "POST /v1/notify?trace_id=96c87113-43e7-47bd-b843-9fcead0ba474 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 500 Random Failure triggered
backend-provider  | INFO:     127.0.0.1:46766 - "POST /v1/notify?trace_id=c6652594-1768-4b3c-bbd8-60d8ad7b0bf7 HTTP/1.1" 500 Internal Server Error
backend-provider  | DEBUG: [Provider] 500 Random Failure triggered
backend-provider  | INFO:     127.0.0.1:46748 - "POST /v1/notify?trace_id=4c396aa4-57c5-4b01-a501-7e44e4da67af HTTP/1.1" 500 Internal Server Error
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46754 - "POST /v1/notify?trace_id=97e0e795-6d05-4b14-92c9-f5031e3bb726 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46750 - "POST /v1/notify?trace_id=1ffe7373-b526-4c49-95a4-4aef28a807b7 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46750 - "POST /v1/notify?trace_id=fbf223ca-dc7a-4d06-b3aa-073e11601982 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 500 Random Failure triggered
backend-provider  | INFO:     127.0.0.1:46748 - "POST /v1/notify?trace_id=59daecda-7560-4813-8491-b215cf773e79 HTTP/1.1" 500 Internal Server Error
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46754 - "POST /v1/notify?trace_id=3d59b764-f78b-4065-926c-088ea5c919d2 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46750 - "POST /v1/notify?trace_id=b97ce335-b042-47d0-b7d7-cd166c7f0988 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46766 - "POST /v1/notify?trace_id=c6652594-1768-4b3c-bbd8-60d8ad7b0bf7 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46748 - "POST /v1/notify?trace_id=767a5e8d-151c-4c1d-aebb-e9372b6952a4 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46754 - "POST /v1/notify?trace_id=a2ac62d7-1c04-4971-8484-af13b3413b05 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 500 Random Failure triggered
backend-provider  | INFO:     127.0.0.1:46776 - "POST /v1/notify?trace_id=7ecbc414-70e8-4333-9a08-520f461110c7 HTTP/1.1" 500 Internal Server Error
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46766 - "POST /v1/notify?trace_id=ce9487e4-af15-4d62-8dde-9805dba55406 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 500 Random Failure triggered
backend-provider  | INFO:     127.0.0.1:46750 - "POST /v1/notify?trace_id=a8595b8b-86e9-4fc1-9fb7-9eb478d69de6 HTTP/1.1" 500 Internal Server Error
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46754 - "POST /v1/notify?trace_id=4eca8350-7738-41b9-9d0e-271a43e063ef HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 500 Random Failure triggered
backend-provider  | INFO:     127.0.0.1:46748 - "POST /v1/notify?trace_id=fc653a87-3df2-4e62-b31a-d68d1f2907c1 HTTP/1.1" 500 Internal Server Error
backend-provider  | DEBUG: [Provider] 500 Random Failure triggered
backend-provider  | INFO:     127.0.0.1:46790 - "POST /v1/notify?trace_id=ce40b711-c4ac-4845-ac84-1453b0d6236e HTTP/1.1" 500 Internal Server Error
backend-provider  | DEBUG: [Provider] 500 Random Failure triggered
backend-provider  | INFO:     127.0.0.1:46754 - "POST /v1/notify?trace_id=2cb15838-9ce1-455c-8a08-f21f1399e947 HTTP/1.1" 500 Internal Server Error
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46750 - "POST /v1/notify?trace_id=4c396aa4-57c5-4b01-a501-7e44e4da67af HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46776 - "POST /v1/notify?trace_id=a5eba0c6-c32b-4081-af49-ac19fc62a4d2 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46766 - "POST /v1/notify?trace_id=006d03ef-4178-4b66-a7ab-21fa12657aa8 HTTP/1.1" 200 OK
backend-provider  | INFO:     127.0.0.1:46792 - "GET /docs HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46748 - "POST /v1/notify?trace_id=0ca61007-ab19-4904-84f1-0dbf78033d83 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 500 Random Failure triggered
backend-provider  | INFO:     127.0.0.1:46766 - "POST /v1/notify?trace_id=20ad8b07-716e-46da-8b25-06e12ef1182e HTTP/1.1" 500 Internal Server Error
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46776 - "POST /v1/notify?trace_id=59daecda-7560-4813-8491-b215cf773e79 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 500 Random Failure triggered
backend-provider  | INFO:     127.0.0.1:46754 - "POST /v1/notify?trace_id=ae05812b-5c98-4256-b43b-11005e03aad6 HTTP/1.1" 500 Internal Server Error
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46750 - "POST /v1/notify?trace_id=42d1488b-9fc5-4f05-96ba-f78034cf5952 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46776 - "POST /v1/notify?trace_id=fc653a87-3df2-4e62-b31a-d68d1f2907c1 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46748 - "POST /v1/notify?trace_id=290e914b-5fc4-4659-935f-9f9b9c4f0c58 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 200 Success to user@example.com via email
backend-provider  | INFO:     127.0.0.1:46790 - "POST /v1/notify?trace_id=f416f90e-62f0-40ef-a6fb-cf211fcf1d37 HTTP/1.1" 200 OK
backend-provider  | DEBUG: [Provider] 500 Random Failure triggered
